cell_id,tower_range,connection_check,run_type
13,0.9999999999999999,True,Baseline Variable Range
14,0.1,False,Baseline Variable Range
14,0.2,False,Baseline Variable Range
14,0.30000000000000004,True,Baseline Variable Range
14,0.4,True,Baseline Variable Range
14,0.5,True,Baseline Variable Range
14,0.6,True,Baseline Variable Range
14,0.7,True,Baseline Variable Range
14,0.7999999999999999,True,Baseline Variable Range
14,0.8999999999999999,True,Baseline Variable Range
14,0.9999999999999999,True,Baseline Variable Range
15,0.1,False,Baseline Variable Range
15,0.2,False,Baseline Variable Range
15,0.30000000000000004,False,Baseline Variable Range
15,0.4,True,Baseline Variable Range
15,0.5,True,Baseline Variable Range
15,0.6,True,Baseline Variable Range
15,0.7,True,Baseline Variable Range
15,0.7999999999999999,True,Baseline Variable Range
15,0.8999999999999999,True,Baseline Variable Range
15,0.9999999999999999,True,Baseline Variable Range
16,0.1,False,Baseline Variable Range
16,0.2,True,Baseline Variable Range
16,0.30000000000000004,True,Baseline Variable Range
16,0.4,True,Baseline Variable Range
16,0.5,True,Baseline Variable Range
16,0.6,True,Baseline Variable Range
16,0.7,True,Baseline Variable Range
16,0.7999999999999999,True,Baseline Variable Range
16,0.8999999999999999,True,Baseline Variable Range
16,0.9999999999999999,True,Baseline Variable Range
17,0.1,True,Baseline Variable Range
17,0.2,True,Baseline Variable Range
17,0.30000000000000004,True,Baseline Variable Range
17,0.4,True,Baseline Variable Range
17,0.5,True,Baseline Variable Range
17,0.6,True,Baseline Variable Range
17,0.7,True,Baseline Variable Range
17,0.7999999999999999,True,Baseline Variable Range
17,0.8999999999999999,True,Baseline Variable Range
17,0.9999999999999999,True,Baseline Variable Range
18,0.1,False,Baseline Variable Range
18,0.2,False,Baseline Variable Range
18,0.30000000000000004,False,Baseline Variable Range
18,0.4,True,Baseline Variable Range
18,0.5,True,Baseline Variable Range
18,0.6,True,Baseline Variable Range
18,0.7,True,Baseline Variable Range
18,0.7999999999999999,True,Baseline Variable Range
18,0.8999999999999999,True,Baseline Variable Range
18,0.9999999999999999,True,Baseline Variable Range
19,0.1,False,Baseline Variable Range
19,0.2,False,Baseline Variable Range
19,0.30000000000000004,True,Baseline Variable Range
19,0.4,True,Baseline Variable Range
19,0.5,True,Baseline Variable Range
19,0.6,True,Baseline Variable Range
19,0.7,True,Baseline Variable Range
19,0.7999999999999999,True,Baseline Variable Range
19,0.8999999999999999,True,Baseline Variable Range
19,0.9999999999999999,True,Baseline Variable Range
20,0.1,False,Baseline Variable Range
20,0.2,False,Baseline Variable Range
20,0.30000000000000004,False,Baseline Variable Range
20,0.4,True,Baseline Variable Range
20,0.5,True,Baseline Variable Range
20,0.6,True,Baseline Variable Range
20,0.7,True,Baseline Variable Range
20,0.7999999999999999,True,Baseline Variable Range
20,0.8999999999999999,True,Baseline Variable Range
20,0.9999999999999999,True,Baseline Variable Range
21,0.1,False,Baseline Variable Range
21,0.2,False,Baseline Variable Range
21,0.30000000000000004,True,Baseline Variable Range
21,0.4,True,Baseline Variable Range
21,0.5,True,Baseline Variable Range
21,0.6,True,Baseline Variable Range
21,0.7,True,Baseline Variable Range
21,0.7999999999999999,True,Baseline Variable Range
21,0.8999999999999999,True,Baseline Variable Range
21,0.9999999999999999,True,Baseline Variable Range
22,0.1,False,Baseline Variable Range
22,0.2,False,Baseline Variable Range
22,0.30000000000000004,True,Baseline Variable Range
22,0.4,True,Baseline Variable Range
22,0.5,True,Baseline Variable Range
22,0.6,True,Baseline Variable Range
22,0.7,True,Baseline Variable Range
22,0.7999999999999999,True,Baseline Variable Range
22,0.8999999999999999,True,Baseline Variable Range
22,0.9999999999999999,True,Baseline Variable Range
23,0.1,True,Baseline Variable Range
23,0.2,True,Baseline Variable Range
23,0.30000000000000004,True,Baseline Variable Range
23,0.4,True,Baseline Variable Range
23,0.5,True,Baseline Variable Range
23,0.6,True,Baseline Variable Range
23,0.7,True,Baseline Variable Range
23,0.7999999999999999,True,Baseline Variable Range
23,0.8999999999999999,True,Baseline Variable Range
23,0.9999999999999999,True,Baseline Variable Range
24,0.1,False,Baseline Variable Range
24,0.2,True,Baseline Variable Range
24,0.30000000000000004,True,Baseline Variable Range
24,0.4,True,Baseline Variable Range
24,0.5,True,Baseline Variable Range
24,0.6,True,Baseline Variable Range
24,0.7,True,Baseline Variable Range
24,0.7999999999999999,True,Baseline Variable Range
24,0.8999999999999999,True,Baseline Variable Range
24,0.9999999999999999,True,Baseline Variable Range
25,0.1,False,Baseline Variable Range
25,0.2,False,Baseline Variable Range
25,0.30000000000000004,False,Baseline Variable Range
25,0.4,False,Baseline Variable Range
25,0.5,True,Baseline Variable Range
25,0.6,True,Baseline Variable Range
25,0.7,True,Baseline Variable Range
25,0.7999999999999999,True,Baseline Variable Range
25,0.8999999999999999,True,Baseline Variable Range
25,0.9999999999999999,True,Baseline Variable Range
26,0.1,False,Baseline Variable Range
26,0.2,False,Baseline Variable Range
26,0.30000000000000004,True,Baseline Variable Range
26,0.4,True,Baseline Variable Range
26,0.5,True,Baseline Variable Range
26,0.6,True,Baseline Variable Range
26,0.7,True,Baseline Variable Range
26,0.7999999999999999,True,Baseline Variable Range
26,0.8999999999999999,True,Baseline Variable Range
26,0.9999999999999999,True,Baseline Variable Range
27,0.1,False,Baseline Variable Range
27,0.2,False,Baseline Variable Range
27,0.30000000000000004,False,Baseline Variable Range
27,0.4,True,Baseline Variable Range
27,0.5,True,Baseline Variable Range
27,0.6,True,Baseline Variable Range
27,0.7,True,Baseline Variable Range
27,0.7999999999999999,True,Baseline Variable Range
27,0.8999999999999999,True,Baseline Variable Range
27,0.9999999999999999,True,Baseline Variable Range
28,0.1,True,Baseline Variable Range
28,0.2,True,Baseline Variable Range
28,0.30000000000000004,True,Baseline Variable Range
28,0.4,True,Baseline Variable Range
28,0.5,True,Baseline Variable Range
28,0.6,True,Baseline Variable Range
28,0.7,True,Baseline Variable Range
28,0.7999999999999999,True,Baseline Variable Range
28,0.8999999999999999,True,Baseline Variable Range
28,0.9999999999999999,True,Baseline Variable Range
29,0.1,False,Baseline Variable Range
29,0.2,True,Baseline Variable Range
29,0.30000000000000004,True,Baseline Variable Range
29,0.4,True,Baseline Variable Range
29,0.5,True,Baseline Variable Range
29,0.6,True,Baseline Variable Range
29,0.7,True,Baseline Variable Range
29,0.7999999999999999,True,Baseline Variable Range
29,0.8999999999999999,True,Baseline Variable Range
29,0.9999999999999999,True,Baseline Variable Range
30,0.1,False,Baseline Variable Range
30,0.2,False,Baseline Variable Range
30,0.30000000000000004,False,Baseline Variable Range
30,0.4,False,Baseline Variable Range
30,0.5,False,Baseline Variable Range
30,0.6,True,Baseline Variable Range
30,0.7,True,Baseline Variable Range
30,0.7999999999999999,True,Baseline Variable Range
30,0.8999999999999999,True,Baseline Variable Range
30,0.9999999999999999,True,Baseline Variable Range
31,0.1,False,Baseline Variable Range
31,0.2,False,Baseline Variable Range
31,0.30000000000000004,False,Baseline Variable Range
31,0.4,False,Baseline Variable Range
31,0.5,True,Baseline Variable Range
31,0.6,True,Baseline Variable Range
31,0.7,True,Baseline Variable Range
31,0.7999999999999999,True,Baseline Variable Range
31,0.8999999999999999,True,Baseline Variable Range
31,0.9999999999999999,True,Baseline Variable Range
32,0.1,False,Baseline Variable Range
32,0.2,False,Baseline Variable Range
32,0.30000000000000004,False,Baseline Variable Range
32,0.4,True,Baseline Variable Range
32,0.5,True,Baseline Variable Range
32,0.6,True,Baseline Variable Range
32,0.7,True,Baseline Variable Range
32,0.7999999999999999,True,Baseline Variable Range
32,0.8999999999999999,True,Baseline Variable Range
